store_name,sales_channel,source_file
微信视频号-安踏生活商城,兴趣,映射.xlsx
快手-安踏泉州服饰专卖店,兴趣,映射.xlsx
快手-安踏户外旗舰店,兴趣,映射.xlsx
抖音-安踏西安未央区大融城专卖店,兴趣,映射.xlsx
抖音-安踏安速运动鞋服专卖店,兴趣,映射.xlsx
抖音-安踏箱包专卖店,兴趣,映射.xlsx
抖音-安踏儿童北京专卖店-NEW,兴趣,映射.xlsx
微信视频号-安踏体育商城,兴趣,映射.xlsx
快手-安踏安之鸿专卖店,兴趣,映射.xlsx
抖音-安踏儿童运动户外旗舰店,兴趣,映射.xlsx
抖音-安踏儿童婴童生活旗舰店,兴趣,映射.xlsx
抖音-安踏儿童奥莱旗舰店,兴趣,映射.xlsx
抖音-安踏儿童深圳专卖店,兴趣,映射.xlsx
抖音-安踏儿童时尚旗舰店,兴趣,映射.xlsx
快手-安踏儿童亲子鞋旗舰店,兴趣,映射.xlsx
抖音-徐州文庙店,兴趣,映射.xlsx
抖音-安踏儿童青少年旗舰店,兴趣,映射.xlsx
杭州哈奴曼文化传播有限公司,经销,映射.xlsx
中山市佳维商贸有限公司,经销,映射.xlsx
杭州雀弥商贸有限公司,经销,映射.xlsx
厦门噜啡商贸有限公司-安踏成人,经销,映射.xlsx
福州瑞拓电子商务有限公司-安踏成人,经销,映射.xlsx
泉州潮越道贸易有限公司-安踏成人,经销,映射.xlsx
南京万千里贸易有限公司-安踏成人,经销,映射.xlsx
江门市羽宙商贸有限公司-安踏成人,经销,映射.xlsx
厦门安之城体育用品有限公司-安踏成人,经销,映射.xlsx
厦门番薯伽米商贸有限公司,经销,映射.xlsx
福建悠悠电子商务有限公司-安踏成人,经销,映射.xlsx
广州蔚亚贸易有限公司-安踏成人,经销,映射.xlsx
杭州山途体育文化传播有限公司,经销,映射.xlsx
广州八悦贸易有限公司,经销,映射.xlsx
厦门金挑客科技有限公司,经销,映射.xlsx
上海威斯迪宁电子商务有限公司,经销,映射.xlsx
宁波动能体育用品有限公司,经销,映射.xlsx
临沂驿程商贸有限公司,经销,映射.xlsx
上海极酷体育用品有限公司,经销,映射.xlsx
杭州单板滑雪电子商务有限公司,经销,映射.xlsx
抖音-超级安踏男装旗舰店,兴趣,映射.xlsx
郑州长跑时代体育发展有限公司-安踏成人,经销,映射.xlsx
微信视频号-安踏运动鞋服旗舰店,兴趣,映射.xlsx
快手-安踏运动内着专卖店,兴趣,映射.xlsx
电商团购-安踏成人,团购,映射.xlsx
得物直发-安踏贵州专卖店,得物,映射.xlsx
快手-安踏男士户外旗舰店,兴趣,映射.xlsx
得物直发-安踏西北专卖店,得物,映射.xlsx
得物直发-安踏广西专卖店,得物,映射.xlsx
泉州市海会电子商务有限公司,经销,映射.xlsx
微信视频号-ANTA安踏上海一号店,兴趣,映射.xlsx
快手-安踏广州男装专卖店,兴趣,映射.xlsx
快手-安踏男鞋专卖店,兴趣,映射.xlsx
快手-安踏东北旗舰店,兴趣,映射.xlsx
