结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,退货单,安踏大货唯品会,962437602-2,-2,-388.0,-1998.0000
20260323,退货单,安踏大货唯品会,962517303-3,-24,-2094.0,-6456.0000
20260323,退货单,天猫-安踏体育篮球旗舰店,922618099-3,-10,-1249.8000000000002,-1990.0000
20260323,退货单,天猫-安踏官方网店,112521603-2,-3,-1038.02,-1647.0000
20260323,退货单,抖音-安踏男鞋旗舰店,112615582-9,-18,-5012.0,-7182.0000
20260323,销售单,京东-安踏勇跃专卖店,912621655SF-1,6,1544.0,2634.0000
20260323,换货单,微信视频号-安踏男装旗舰店,962628115-1,5,475.0,595.0000
20260323,退货单,拼多多-安踏篮球旗舰店,952535401-4,-1,-95.0,-239.0000
20260323,退货单,拼多多-安踏篮球旗舰店,992526152R-4,-1,-66.0,-199.0000
20260323,退货单,天猫-anta安凯专卖店,152618303S-1,-1,-279.0,-339.0000
20260323,退货单,拼多多-安踏旗舰店,152547942-1,-1,-629.0,-1099.0000
20260323,退货单,拼多多-安踏旗舰店,922548887-3,-3,-390.0,-897.0000
20260323,退货单,拼多多-安踏旗舰店,952538706-3,-3,-427.0,-1197.0000
20260323,退货单,安踏大货唯品会,112435583R-1,-15,-3042.0,-8985.0000
20260323,退货单,安踏大货唯品会,122525583-3,-28,-8110.915324999999,-16772.0000
20260323,退货单,安踏大货唯品会,152438607-2,-6,-642.0,-2694.0000
20260323,退货单,安踏大货唯品会,152527107U-2,-1,-65.341463,-79.0000
20260323,退货单,安踏大货唯品会,162548301N-1,-1,-197.463415,-339.0000
20260323,退货单,安踏大货唯品会,922528011-5,-2,-309.0,-798.0000
20260323,退货单,安踏大货唯品会,922548033-1,-8,-1362.4878059999999,-3192.0000
20260323,退货单,安踏大货唯品会,952538304-1,-1,-138.902439,-299.0000
20260323,退货单,安踏大货唯品会,952538706-3,-5,-749.0,-1995.0000
20260323,退货单,安踏大货唯品会,992618971R-3,-3,-221.0,-597.0000
20260323,退货单,微信视频号-安踏男装旗舰店,962628115-1,-67,-5993.0,-7973.0000
20260323,退货单,天猫-安踏体育篮球旗舰店,922528010F-2,-1,-159.0,-269.0000
20260323,退货单,抖音-安踏运动旗舰店,952627208-3,-27,-2599.3,-3753.0000
20260323,退货单,抖音-安踏中街概念运动鞋服专卖店,172621101R-1,-5,-835.0,-1195.0000
20260323,退货单,抖音-安踏官方旗舰店,1825315628R-1,-1,-119.0,-179.0000
20260323,退货单,抖音-安踏中街概念运动鞋服专卖店,112615599-2,-3,-1077.0,-1797.0000
20260323,退货单,抖音-安踏中街概念运动鞋服专卖店,172611506-3,-1,-309.0,-399.0000
20260323,退货单,安踏大货唯品会,112535562-4,-10,-2002.19512,-5990.0000
20260323,退货单,天猫-安踏冠军旗舰店,112548806A-2,-1,-359.0,-599.0000
20260323,销售单,拼多多-安踏运动旗舰店,922515553-3,2,238.75,798.0000
20260323,换货单,快手-安踏体育旗舰店,912615556-2,4,996.0,1876.0000
20260323,退货单,拼多多-安踏运动旗舰店,952537405-3,-11,-800.0,-1859.0000
20260323,退货单,天猫-安踏官方网店,112535575R-1,-9,-4090.6800000000003,-7191.0000
20260323,退货单,天猫-安踏官方网店,112615583-4,-49,-23431.05,-29351.0000
20260323,退货单,天猫-安踏官方网店,122618853-1,-12,-3444.5100000000007,-4788.0000
20260323,退货单,抖音-安踏官方旗舰店,112615583-4,-44,-21072.0,-26356.0000
20260323,退货单,快手-安踏体育旗舰店,912615556-2,-9,-2321.0,-4221.0000
20260323,退货单,拼多多-安踏旗舰店,922618883-2,-1,-260.0,-469.0000
20260323,退货单,拼多多-安踏安之昌专卖店,912628002-7,-1,-169.0,-269.0000
20260323,退货单,天猫-anta安踏安驰专卖店,912615502F-5,-38,-6022.0,-10222.0000
20260323,退货单,安踏大货唯品会,112545592-1,-5,-1005.0,-1695.0000
